CALENDAR_C;HOLIDAY_D;GLOBAL_F
GBP       ;2017-05-29;0
GBP       ;2017-08-28;0
GBP       ;2017-12-25;0
GBP       ;2017-12-26;0
GBP       ;2018-01-01;0
GBP       ;2018-03-30;0
GBP       ;2018-04-02;0
GBP       ;2018-05-07;0
GBP       ;2018-05-28;0
GBP       ;2018-08-27;0
GBP       ;2018-12-25;0
GBP       ;2018-12-26;0
GBP       ;2019-01-01;0
GBP       ;2019-04-19;0
GBP       ;2019-04-22;0
GBP       ;2019-05-06;0
GBP       ;2019-05-27;0
GBP       ;2019-08-26;0
GBP       ;2019-12-25;0
GBP       ;2019-12-26;0
GBP       ;2020-01-01;0
GBP       ;2020-04-10;0
GBP       ;2020-04-13;0
GBP       ;2020-05-08;0
GBP       ;2020-05-25;0
GBP       ;2020-08-31;0
GBP       ;2020-12-25;0
GBP       ;2020-12-28;0
GBP       ;2021-01-01;0
GBP       ;2021-04-02;0
GBP       ;2021-04-05;0
GBP       ;2021-05-03;0
GBP       ;2021-05-31;0
GBP       ;2021-08-30;0
GBP       ;2021-12-27;0
GBP       ;2021-12-28;0
